timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight
04:59 (BST),06:17 (BST),13:10 (BST),17:45 (BST),19:51 (BST),19:53 (BST),20:55 (BST),04:49 (BST),01:04 (BST),01-Sep-21,1630483261,01/09/2021,DD-MM-YYYY,1,Wednesday,9,September,2021,AD,Anno Domini,23-01-1443,DD-MM-YYYY,23,Al Arba'a,الاربعاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:01 (BST),06:19 (BST),13:10 (BST),17:43 (BST),19:49 (BST),19:50 (BST),20:52 (BST),04:51 (BST),01:04 (BST),02-Sep-21,1630569661,02/09/2021,DD-MM-YYYY,2,Thursday,9,September,2021,AD,Anno Domini,24-01-1443,DD-MM-YYYY,24,Al Khamees,الخميس,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:03 (BST),06:21 (BST),13:09 (BST),17:41 (BST),19:47 (BST),19:48 (BST),20:50 (BST),04:53 (BST),01:04 (BST),03-Sep-21,1630656061,03/09/2021,DD-MM-YYYY,3,Friday,9,September,2021,AD,Anno Domini,25-01-1443,DD-MM-YYYY,25,Al Juma'a,الجمعة,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:05 (BST),06:22 (BST),13:09 (BST),17:40 (BST),19:45 (BST),19:46 (BST),20:47 (BST),04:55 (BST),01:03 (BST),04-Sep-21,1630742461,04/09/2021,DD-MM-YYYY,4,Saturday,9,September,2021,AD,Anno Domini,26-01-1443,DD-MM-YYYY,26,Al Sabt,السبت,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:07 (BST),06:24 (BST),13:09 (BST),17:38 (BST),19:42 (BST),19:44 (BST),20:45 (BST),04:57 (BST),01:03 (BST),05-Sep-21,1630828861,05/09/2021,DD-MM-YYYY,5,Sunday,9,September,2021,AD,Anno Domini,27-01-1443,DD-MM-YYYY,27,Al Ahad,الاحد,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:09 (BST),06:25 (BST),13:08 (BST),17:36 (BST),19:40 (BST),19:41 (BST),20:42 (BST),04:59 (BST),01:03 (BST),06-Sep-21,1630915261,06/09/2021,DD-MM-YYYY,6,Monday,9,September,2021,AD,Anno Domini,28-01-1443,DD-MM-YYYY,28,Al Athnayn,الاثنين,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:11 (BST),06:27 (BST),13:08 (BST),17:34 (BST),19:38 (BST),19:39 (BST),20:40 (BST),05:01 (BST),01:02 (BST),07-Sep-21,1631001661,07/09/2021,DD-MM-YYYY,7,Tuesday,9,September,2021,AD,Anno Domini,29-01-1443,DD-MM-YYYY,29,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:13 (BST),06:29 (BST),13:08 (BST),17:32 (BST),19:36 (BST),19:37 (BST),20:37 (BST),05:03 (BST),01:02 (BST),08-Sep-21,1631088061,08/09/2021,DD-MM-YYYY,8,Wednesday,9,September,2021,AD,Anno Domini,30-01-1443,DD-MM-YYYY,30,Al Arba'a,الاربعاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:15 (BST),06:30 (BST),13:07 (BST),17:31 (BST),19:33 (BST),19:34 (BST),20:35 (BST),05:05 (BST),01:02 (BST),09-Sep-21,1631174461,09/09/2021,DD-MM-YYYY,9,Thursday,9,September,2021,AD,Anno Domini,01-02-1443,DD-MM-YYYY,1,Al Khamees,الخميس,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:16 (BST),06:32 (BST),13:07 (BST),17:29 (BST),19:31 (BST),19:32 (BST),20:32 (BST),05:06 (BST),01:01 (BST),10-Sep-21,1631260861,10/09/2021,DD-MM-YYYY,10,Friday,9,September,2021,AD,Anno Domini,02-02-1443,DD-MM-YYYY,2,Al Juma'a,الجمعة,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:18 (BST),06:34 (BST),13:07 (BST),17:27 (BST),19:29 (BST),19:30 (BST),20:30 (BST),05:08 (BST),01:01 (BST),11-Sep-21,1631347261,11/09/2021,DD-MM-YYYY,11,Saturday,9,September,2021,AD,Anno Domini,03-02-1443,DD-MM-YYYY,3,Al Sabt,السبت,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:20 (BST),06:35 (BST),13:06 (BST),17:25 (BST),19:26 (BST),19:27 (BST),20:27 (BST),05:10 (BST),01:01 (BST),12-Sep-21,1631433661,12/09/2021,DD-MM-YYYY,12,Sunday,9,September,2021,AD,Anno Domini,04-02-1443,DD-MM-YYYY,4,Al Ahad,الاحد,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:22 (BST),06:37 (BST),13:06 (BST),17:23 (BST),19:24 (BST),19:25 (BST),20:25 (BST),05:12 (BST),01:00 (BST),13-Sep-21,1631520061,13/09/2021,DD-MM-YYYY,13,Monday,9,September,2021,AD,Anno Domini,05-02-1443,DD-MM-YYYY,5,Al Athnayn,الاثنين,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:24 (BST),06:38 (BST),13:06 (BST),17:21 (BST),19:22 (BST),19:23 (BST),20:22 (BST),05:14 (BST),01:00 (BST),14-Sep-21,1631606461,14/09/2021,DD-MM-YYYY,14,Tuesday,9,September,2021,AD,Anno Domini,06-02-1443,DD-MM-YYYY,6,Al Thalaata,الثلاثاء,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:26 (BST),06:40 (BST),13:05 (BST),17:19 (BST),19:19 (BST),19:20 (BST),20:20 (BST),05:16 (BST),01:00 (BST),15-Sep-21,1631692861,15/09/2021,DD-MM-YYYY,15,Wednesday,9,September,2021,AD,Anno Domini,07-02-1443,DD-MM-YYYY,7,Al Arba'a,الاربعاء,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:27 (BST),06:42 (BST),13:05 (BST),17:17 (BST),19:17 (BST),19:18 (BST),20:17 (BST),05:17 (BST),00:59 (BST),16-Sep-21,1631779261,16/09/2021,DD-MM-YYYY,16,Thursday,9,September,2021,AD,Anno Domini,08-02-1443,DD-MM-YYYY,8,Al Khamees,الخميس,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:29 (BST),06:43 (BST),13:04 (BST),17:15 (BST),19:15 (BST),19:16 (BST),20:15 (BST),05:19 (BST),00:59 (BST),17-Sep-21,1631865661,17/09/2021,DD-MM-YYYY,17,Friday,9,September,2021,AD,Anno Domini,09-02-1443,DD-MM-YYYY,9,Al Juma'a,الجمعة,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:31 (BST),06:45 (BST),13:04 (BST),17:13 (BST),19:12 (BST),19:13 (BST),20:13 (BST),05:21 (BST),00:59 (BST),18-Sep-21,1631952061,18/09/2021,DD-MM-YYYY,18,Saturday,9,September,2021,AD,Anno Domini,10-02-1443,DD-MM-YYYY,10,Al Sabt,السبت,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:33 (BST),06:46 (BST),13:04 (BST),17:11 (BST),19:10 (BST),19:11 (BST),20:10 (BST),05:23 (BST),00:58 (BST),19-Sep-21,1632038461,19/09/2021,DD-MM-YYYY,19,Sunday,9,September,2021,AD,Anno Domini,11-02-1443,DD-MM-YYYY,11,Al Ahad,الاحد,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
05:35 (BST),06:48 (BST),13:03 (BST),17:10 (BST),19:08 (BST),19:09 (BST),20:08 (BST),05:25 (BST),00:58 (BST),20-Sep-21,1632124861,20/09/2021,DD-MM-YYYY,20,Monday,9,September,2021,AD,Anno Domini,12-02-1443,DD-MM-YYYY,12,Al Athnayn,الاثنين,2,Ṣafar,صَفَر,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
