timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight
02:45 (BST),04:47 (BST),13:10 (BST),18:42 (BST),21:23 (BST),21:25 (BST),22:56 (BST),02:35 (BST),01:05 (BST),11-Jun-21,1623398461,11/06/2021,DD-MM-YYYY,11,Friday,6,June,2021,AD,Anno Domini,01-11-1442,DD-MM-YYYY,1,Al Juma'a,الجمعة,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:44 (BST),04:46 (BST),13:10 (BST),18:42 (BST),21:24 (BST),21:25 (BST),22:57 (BST),02:34 (BST),01:05 (BST),12-Jun-21,1623484861,12/06/2021,DD-MM-YYYY,12,Saturday,6,June,2021,AD,Anno Domini,02-11-1442,DD-MM-YYYY,2,Al Sabt,السبت,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:43 (BST),04:46 (BST),13:10 (BST),18:43 (BST),21:24 (BST),21:26 (BST),22:58 (BST),02:33 (BST),01:05 (BST),13-Jun-21,1623571261,13/06/2021,DD-MM-YYYY,13,Sunday,6,June,2021,AD,Anno Domini,03-11-1442,DD-MM-YYYY,3,Al Ahad,الاحد,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:43 (BST),04:46 (BST),13:10 (BST),18:43 (BST),21:25 (BST),21:26 (BST),22:59 (BST),02:33 (BST),01:05 (BST),14-Jun-21,1623657661,14/06/2021,DD-MM-YYYY,14,Monday,6,June,2021,AD,Anno Domini,04-11-1442,DD-MM-YYYY,4,Al Athnayn,الاثنين,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:42 (BST),04:46 (BST),13:11 (BST),18:43 (BST),21:25 (BST),21:27 (BST),23:00 (BST),02:32 (BST),01:06 (BST),15-Jun-21,1623744061,15/06/2021,DD-MM-YYYY,15,Tuesday,6,June,2021,AD,Anno Domini,05-11-1442,DD-MM-YYYY,5,Al Thalaata,الثلاثاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:42 (BST),04:46 (BST),13:11 (BST),18:44 (BST),21:26 (BST),21:27 (BST),23:00 (BST),02:32 (BST),01:06 (BST),16-Jun-21,1623830461,16/06/2021,DD-MM-YYYY,16,Wednesday,6,June,2021,AD,Anno Domini,06-11-1442,DD-MM-YYYY,6,Al Arba'a,الاربعاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:41 (BST),04:46 (BST),13:11 (BST),18:44 (BST),21:26 (BST),21:28 (BST),23:01 (BST),02:31 (BST),01:06 (BST),17-Jun-21,1623916861,17/06/2021,DD-MM-YYYY,17,Thursday,6,June,2021,AD,Anno Domini,07-11-1442,DD-MM-YYYY,7,Al Khamees,الخميس,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:41 (BST),04:46 (BST),13:11 (BST),18:44 (BST),21:27 (BST),21:28 (BST),23:01 (BST),02:31 (BST),01:06 (BST),18-Jun-21,1624003261,18/06/2021,DD-MM-YYYY,18,Friday,6,June,2021,AD,Anno Domini,08-11-1442,DD-MM-YYYY,8,Al Juma'a,الجمعة,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:41 (BST),04:46 (BST),13:11 (BST),18:45 (BST),21:27 (BST),21:28 (BST),23:02 (BST),02:31 (BST),01:06 (BST),19-Jun-21,1624089661,19/06/2021,DD-MM-YYYY,19,Saturday,6,June,2021,AD,Anno Domini,09-11-1442,DD-MM-YYYY,9,Al Sabt,السبت,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:41 (BST),04:46 (BST),13:12 (BST),18:45 (BST),21:27 (BST),21:29 (BST),23:02 (BST),02:31 (BST),01:07 (BST),20-Jun-21,1624176061,20/06/2021,DD-MM-YYYY,20,Sunday,6,June,2021,AD,Anno Domini,10-11-1442,DD-MM-YYYY,10,Al Ahad,الاحد,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
