timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight,datehijriholidays
02:49 (BST),04:51 (BST),13:14 (BST),18:46 (BST),21:27 (BST),21:28 (BST),23:00 (BST),02:39 (BST),01:09 (BST),01-Jul-21,1625126461,01/07/2021,DD-MM-YYYY,1,Thursday,7,July,2021,AD,Anno Domini,21-11-1442,DD-MM-YYYY,21,Al Khamees,الخميس,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:50 (BST),04:52 (BST),13:14 (BST),18:46 (BST),21:26 (BST),21:28 (BST),22:59 (BST),02:40 (BST),01:09 (BST),02-Jul-21,1625212861,02/07/2021,DD-MM-YYYY,2,Friday,7,July,2021,AD,Anno Domini,22-11-1442,DD-MM-YYYY,22,Al Juma'a,الجمعة,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:52 (BST),04:52 (BST),13:14 (BST),18:46 (BST),21:26 (BST),21:27 (BST),22:58 (BST),02:42 (BST),01:09 (BST),03-Jul-21,1625299261,03/07/2021,DD-MM-YYYY,3,Saturday,7,July,2021,AD,Anno Domini,23-11-1442,DD-MM-YYYY,23,Al Sabt,السبت,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:53 (BST),04:53 (BST),13:15 (BST),18:45 (BST),21:25 (BST),21:27 (BST),22:57 (BST),02:43 (BST),01:09 (BST),04-Jul-21,1625385661,04/07/2021,DD-MM-YYYY,4,Sunday,7,July,2021,AD,Anno Domini,24-11-1442,DD-MM-YYYY,24,Al Ahad,الاحد,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:55 (BST),04:54 (BST),13:15 (BST),18:45 (BST),21:25 (BST),21:26 (BST),22:56 (BST),02:45 (BST),01:10 (BST),05-Jul-21,1625472061,05/07/2021,DD-MM-YYYY,5,Monday,7,July,2021,AD,Anno Domini,25-11-1442,DD-MM-YYYY,25,Al Athnayn,الاثنين,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:56 (BST),04:55 (BST),13:15 (BST),18:45 (BST),21:24 (BST),21:26 (BST),22:55 (BST),02:46 (BST),01:10 (BST),06-Jul-21,1625558461,06/07/2021,DD-MM-YYYY,6,Tuesday,7,July,2021,AD,Anno Domini,26-11-1442,DD-MM-YYYY,26,Al Thalaata,الثلاثاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
02:58 (BST),04:56 (BST),13:15 (BST),18:45 (BST),21:24 (BST),21:25 (BST),22:54 (BST),02:48 (BST),01:10 (BST),07-Jul-21,1625644861,07/07/2021,DD-MM-YYYY,7,Wednesday,7,July,2021,AD,Anno Domini,27-11-1442,DD-MM-YYYY,27,Al Arba'a,الاربعاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:00 (BST),04:57 (BST),13:15 (BST),18:44 (BST),21:23 (BST),21:24 (BST),22:53 (BST),02:50 (BST),01:10 (BST),08-Jul-21,1625731261,08/07/2021,DD-MM-YYYY,8,Thursday,7,July,2021,AD,Anno Domini,28-11-1442,DD-MM-YYYY,28,Al Khamees,الخميس,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:02 (BST),04:58 (BST),13:15 (BST),18:44 (BST),21:22 (BST),21:24 (BST),22:52 (BST),02:52 (BST),01:10 (BST),09-Jul-21,1625817661,09/07/2021,DD-MM-YYYY,9,Friday,7,July,2021,AD,Anno Domini,29-11-1442,DD-MM-YYYY,29,Al Juma'a,الجمعة,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:04 (BST),04:59 (BST),13:15 (BST),18:44 (BST),21:22 (BST),21:23 (BST),22:50 (BST),02:54 (BST),01:10 (BST),10-Jul-21,1625904061,10/07/2021,DD-MM-YYYY,10,Saturday,7,July,2021,AD,Anno Domini,30-11-1442,DD-MM-YYYY,30,Al Sabt,السبت,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
