timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight,datehijriholidays
03:52 (BST),05:28 (BST),13:16 (BST),18:29 (BST),20:54 (BST),20:55 (BST),22:10 (BST),03:42 (BST),01:11 (BST),01-Aug-21,1627804861,01/08/2021,DD-MM-YYYY,1,Sunday,8,August,2021,AD,Anno Domini,22-12-1442,DD-MM-YYYY,22,Al Ahad,الاحد,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:54 (BST),05:30 (BST),13:16 (BST),18:28 (BST),20:52 (BST),20:53 (BST),22:08 (BST),03:44 (BST),01:11 (BST),02-Aug-21,1627891261,02/08/2021,DD-MM-YYYY,2,Monday,8,August,2021,AD,Anno Domini,23-12-1442,DD-MM-YYYY,23,Al Athnayn,الاثنين,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:57 (BST),05:31 (BST),13:16 (BST),18:27 (BST),20:50 (BST),20:52 (BST),22:05 (BST),03:47 (BST),01:11 (BST),03-Aug-21,1627977661,03/08/2021,DD-MM-YYYY,3,Tuesday,8,August,2021,AD,Anno Domini,24-12-1442,DD-MM-YYYY,24,Al Thalaata,الثلاثاء,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:59 (BST),05:33 (BST),13:16 (BST),18:25 (BST),20:49 (BST),20:50 (BST),22:03 (BST),03:49 (BST),01:11 (BST),04-Aug-21,1628064061,04/08/2021,DD-MM-YYYY,4,Wednesday,8,August,2021,AD,Anno Domini,25-12-1442,DD-MM-YYYY,25,Al Arba'a,الاربعاء,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:01 (BST),05:34 (BST),13:16 (BST),18:24 (BST),20:47 (BST),20:48 (BST),22:01 (BST),03:51 (BST),01:11 (BST),05-Aug-21,1628150461,05/08/2021,DD-MM-YYYY,5,Thursday,8,August,2021,AD,Anno Domini,26-12-1442,DD-MM-YYYY,26,Al Khamees,الخميس,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:04 (BST),05:36 (BST),13:16 (BST),18:23 (BST),20:45 (BST),20:46 (BST),21:58 (BST),03:54 (BST),01:10 (BST),06-Aug-21,1628236861,06/08/2021,DD-MM-YYYY,6,Friday,8,August,2021,AD,Anno Domini,27-12-1442,DD-MM-YYYY,27,Al Juma'a,الجمعة,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:06 (BST),05:37 (BST),13:16 (BST),18:22 (BST),20:43 (BST),20:45 (BST),21:56 (BST),03:56 (BST),01:10 (BST),07-Aug-21,1628323261,07/08/2021,DD-MM-YYYY,7,Saturday,8,August,2021,AD,Anno Domini,28-12-1442,DD-MM-YYYY,28,Al Sabt,السبت,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:08 (BST),05:39 (BST),13:16 (BST),18:21 (BST),20:41 (BST),20:43 (BST),21:54 (BST),03:58 (BST),01:10 (BST),08-Aug-21,1628409661,08/08/2021,DD-MM-YYYY,8,Sunday,8,August,2021,AD,Anno Domini,29-12-1442,DD-MM-YYYY,29,Al Ahad,الاحد,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:10 (BST),05:41 (BST),13:16 (BST),18:20 (BST),20:40 (BST),20:41 (BST),21:51 (BST),04:00 (BST),01:10 (BST),09-Aug-21,1628496061,09/08/2021,DD-MM-YYYY,9,Monday,8,August,2021,AD,Anno Domini,30-12-1442,DD-MM-YYYY,30,Al Athnayn,الاثنين,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:13 (BST),05:42 (BST),13:15 (BST),18:18 (BST),20:38 (BST),20:39 (BST),21:49 (BST),04:03 (BST),01:10 (BST),10-Aug-21,1628582461,10/08/2021,DD-MM-YYYY,10,Tuesday,8,August,2021,AD,Anno Domini,01-01-1443,DD-MM-YYYY,1,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
